Midpoint LowerLim UpperLim Count ProbabilityDensity
-0.305 -0.31 0.01 0 0
-0.295 -0.3 0.02 1 4.51396e-06
-0.285 -0.29 0.03 0 0
-0.275 -0.28 0.04 0 0
-0.265 -0.27 0.05 0 0
-0.255 -0.26 0.06 1 4.51396e-06
-0.245 -0.25 0.07 2 9.02792e-06
-0.235 -0.24 0.08 2 9.02792e-06
-0.225 -0.23 0.09 3 1.35419e-05
-0.215 -0.22 0.1 2 9.02792e-06
-0.205 -0.21 0.11 4 1.80558e-05
-0.195 -0.2 0.12 3 1.35419e-05
-0.185 -0.19 0.13 7 3.15977e-05
-0.175 -0.18 0.14 10 4.51396e-05
-0.165 -0.17 0.15 6 2.70838e-05
-0.155 -0.16 0.16 16 7.22234e-05
-0.145 -0.15 0.17 29 0.000130905
-0.135 -0.14 0.18 38 0.00017153
-0.125 -0.13 0.19 46 0.000207642
-0.115 -0.12 0.2 84 0.000379173
-0.105 -0.11 0.21 142 0.000640982
-0.095 -0.1 0.22 212 0.000956959
-0.085 -0.09 0.23 354 0.00159794
-0.075 -0.08 0.24 648 0.00292505
-0.065 -0.07 0.25 1135 0.00512334
-0.055 -0.06 0.26 2259 0.010197
-0.045 -0.05 0.27 4563 0.0205972
-0.035 -0.04 0.28 9991 0.045099
-0.025 -0.03 0.29 24465 0.110434
-0.015 -0.02 0.3 60475 0.272982
-0.00500001 -0.01 0.31 117037 0.5283
0.00499999 0 0.32 0 0
0.015 0.00999999 0.33 0 0
