Midpoint LowerLim UpperLim Count ProbabilityDensity
-0.255 -0.26 0.01 0 0
-0.245 -0.25 0.02 1 5.70027e-07
-0.235 -0.24 0.03 1 5.70027e-07
-0.225 -0.23 0.04 1 5.70027e-07
-0.215 -0.22 0.05 6 3.42016e-06
-0.205 -0.21 0.06 2 1.14005e-06
-0.195 -0.2 0.07 1 5.70027e-07
-0.185 -0.19 0.08 5 2.85013e-06
-0.175 -0.18 0.09 8 4.56022e-06
-0.165 -0.17 0.1 9 5.13024e-06
-0.155 -0.16 0.11 25 1.42507e-05
-0.145 -0.15 0.12 20 1.14005e-05
-0.135 -0.14 0.13 39 2.22311e-05
-0.125 -0.13 0.14 65 3.70518e-05
-0.115 -0.12 0.15 140 7.98038e-05
-0.105 -0.11 0.16 212 0.000120846
-0.095 -0.1 0.17 349 0.000198939
-0.085 -0.09 0.18 850 0.000484523
-0.075 -0.08 0.19 1612 0.000918883
-0.065 -0.07 0.2 3517 0.00200478
-0.055 -0.06 0.21 7240 0.004127
-0.045 -0.05 0.22 15830 0.00902353
-0.035 -0.04 0.23 35437 0.0202
-0.025 -0.03 0.24 88372 0.0503744
-0.015 -0.02 0.25 233452 0.133074
-0.005 -0.00999999 0.26 609858 0.347636
0.005 0 0.27 440601 0.251154
0.015 0.00999999 0.28 162753 0.0927736
0.025 0.02 0.29 67452 0.0384495
0.035 0.03 0.3 29995 0.017098
0.045 0.04 0.31 16326 0.00930626
0.055 0.05 0.32 10334 0.00589066
0.065 0.06 0.33 7083 0.0040375
0.075 0.07 0.34 5021 0.00286211
0.085 0.08 0.35 3836 0.00218662
0.095 0.09 0.36 3189 0.00181782
0.105 0.1 0.37 2480 0.00141367
0.115 0.11 0.38 2080 0.00118566
0.125 0.12 0.39 1571 0.000895512
0.135 0.13 0.4 1273 0.000725644
0.145 0.14 0.41 915 0.000521575
0.155 0.15 0.42 679 0.000387048
0.165 0.16 0.43 520 0.000296414
0.175 0.17 0.44 413 0.000235421
0.185 0.18 0.45 257 0.000146497
0.195 0.19 0.46 151 8.60741e-05
0.205 0.2 0.47 104 5.92828e-05
0.215 0.21 0.48 82 4.67422e-05
0.225 0.22 0.49 49 2.79313e-05
0.235 0.23 0.5 27 1.53907e-05
0.245 0.24 0.51 24 1.36806e-05
0.255 0.25 0.52 11 6.2703e-06
0.265 0.26 0.53 5 2.85013e-06
0.275 0.27 0.54 6 3.42016e-06
0.285 0.28 0.55 5 2.85013e-06
0.295 0.29 0.56 4 2.28011e-06
0.305 0.3 0.57 2 1.14005e-06
0.315 0.31 0.58 1 5.70027e-07
0.325 0.32 0.59 0 0
0.335 0.33 0.6 1 5.70027e-07
0.345 0.34 0.61 0 0
0.355 0.35 0.62 0 0
0.365 0.36 0.63 1 5.70027e-07
0.375 0.37 0.64 0 0
0.385 0.38 0.65 0 0
