resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.0501555 -0.0165635 -0.00888023 -0.0126919 -0.00446829 -0.000459053 -0.283137 -4.84288e-08
2 -0.0518505 -0.0173072 -0.00934573 -0.013189 -0.00463692 -0.000456415 -0.296368 -1.29774e-07
3 -0.0556134 -0.0189799 -0.0102648 -0.0143303 -0.0049873 -0.000446084 -0.260262 -8.03731e-07
4 -0.0462196 -0.0163555 -0.00878983 -0.0122176 -0.00435232 -0.000428732 -0.222648 -3.81377e-07
5 -0.0404868 -0.0151596 -0.0081201 -0.0111184 -0.00401714 -0.00039484 -0.186768 -2.32831e-10
6 -0.0375864 -0.014822 -0.00782466 -0.0106838 -0.00388982 -0.000440365 -0.137203 -4.01866e-07
7 -0.0353013 -0.0142184 -0.00749341 -0.0102133 -0.00377848 -0.000406116 -0.104262 -2.16911e-07
8 -0.0336526 -0.0139904 -0.00733197 -0.00996346 -0.00370331 -0.000412198 -0.119053 -1.58948e-06
9 -0.0323427 -0.0138457 -0.00731461 -0.00976897 -0.00367473 -0.000408017 -0.0856291 -2.3815e-06
10 -0.0310531 -0.01385 -0.00731672 -0.00966039 -0.00375082 -0.000457449 -0.0749045 -1.66667e-06
