resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.0544099 -0.0105071 -0.00142971 0.000404463 0.00768426 0.0692251 -0.696393 1.14627
2 -0.0577486 -0.0113244 -0.00143214 0.000287067 0.00852938 0.0717724 -0.672309 1.23879
3 -0.0655155 -0.0131735 -0.00139411 -1.50532e-05 0.0105155 0.0777631 -0.777905 1.14612
4 -0.0509132 -0.0105518 -0.00145111 -8.42146e-06 0.00774155 0.0652398 -1.08028 0.934774
5 -0.0431068 -0.0094425 -0.001455 -3.81906e-06 0.00660021 0.0586958 -0.48894 0.566407
6 -0.0379606 -0.00869171 -0.00144917 -3.39455e-06 0.0058333 0.0543345 -0.243941 0.364695
7 -0.0341003 -0.00819862 -0.00145426 -7.28014e-06 0.00535698 0.050831 -0.186261 0.285535
8 -0.0312743 -0.00786686 -0.00142593 -6.61713e-06 0.0050588 0.0479712 -0.209715 0.279856
9 -0.0290584 -0.00761647 -0.00141056 -5.46101e-06 0.0048754 0.045628 -0.20062 0.226906
10 -0.0272628 -0.00739214 -0.00138914 -7.36573e-06 0.00474687 0.0432821 -0.181652 0.200348
