Midpoint LowerLim UpperLim Count ProbabilityDensity
-2.155 -2.16 0.01 0 0
-2.145 -2.15 0.02 1 3.67578e-07
-2.135 -2.14 0.03 0 0
-2.125 -2.13 0.04 1 3.67578e-07
-2.115 -2.12 0.05 0 0
-2.105 -2.11 0.06 0 0
-2.095 -2.1 0.07 0 0
-2.085 -2.09 0.08 0 0
-2.075 -2.08 0.09 0 0
-2.065 -2.07 0.1 0 0
-2.055 -2.06 0.11 0 0
-2.045 -2.05 0.12 0 0
-2.035 -2.04 0.13 0 0
-2.025 -2.03 0.14 0 0
-2.015 -2.02 0.15 0 0
-2.005 -2.01 0.16 0 0
-1.995 -2 0.17 0 0
-1.985 -1.99 0.18 0 0
-1.975 -1.98 0.19 0 0
-1.965 -1.97 0.2 0 0
-1.955 -1.96 0.21 0 0
-1.945 -1.95 0.22 0 0
-1.935 -1.94 0.23 0 0
-1.925 -1.93 0.24 1 3.67578e-07
-1.915 -1.92 0.25 0 0
-1.905 -1.91 0.26 0 0
-1.895 -1.9 0.27 0 0
-1.885 -1.89 0.28 0 0
-1.875 -1.88 0.29 1 3.67578e-07
-1.865 -1.87 0.3 0 0
-1.855 -1.86 0.31 1 3.67578e-07
-1.845 -1.85 0.32 1 3.67578e-07
-1.835 -1.84 0.33 0 0
-1.825 -1.83 0.34 0 0
-1.815 -1.82 0.35 0 0
-1.805 -1.81 0.36 0 0
-1.795 -1.8 0.37 0 0
-1.785 -1.79 0.38 0 0
-1.775 -1.78 0.39 0 0
-1.765 -1.77 0.4 0 0
-1.755 -1.76 0.41 0 0
-1.745 -1.75 0.42 1 3.67578e-07
-1.735 -1.74 0.43 0 0
-1.725 -1.73 0.44 1 3.67578e-07
-1.715 -1.72 0.45 0 0
-1.705 -1.71 0.46 1 3.67578e-07
-1.695 -1.7 0.47 1 3.67578e-07
-1.685 -1.69 0.48 0 0
-1.675 -1.68 0.49 1 3.67578e-07
-1.665 -1.67 0.5 0 0
-1.655 -1.66 0.51 2 7.35157e-07
-1.645 -1.65 0.52 0 0
-1.635 -1.64 0.53 0 0
-1.625 -1.63 0.54 0 0
-1.615 -1.62 0.55 0 0
-1.605 -1.61 0.56 0 0
-1.595 -1.6 0.57 0 0
-1.585 -1.59 0.58 0 0
-1.575 -1.58 0.59 2 7.35157e-07
-1.565 -1.57 0.6 2 7.35157e-07
-1.555 -1.56 0.61 1 3.67578e-07
-1.545 -1.55 0.62 1 3.67578e-07
-1.535 -1.54 0.63 1 3.67578e-07
-1.525 -1.53 0.64 2 7.35157e-07
-1.515 -1.52 0.65 0 0
-1.505 -1.51 0.66 1 3.67578e-07
-1.495 -1.5 0.67 1 3.67578e-07
-1.485 -1.49 0.68 0 0
-1.475 -1.48 0.69 1 3.67578e-07
-1.465 -1.47 0.7 1 3.67578e-07
-1.455 -1.46 0.71 0 0
-1.445 -1.45 0.72 0 0
-1.435 -1.44 0.73 0 0
-1.425 -1.43 0.74 1 3.67578e-07
-1.415 -1.42 0.75 1 3.67578e-07
-1.405 -1.41 0.76 0 0
-1.395 -1.4 0.77 0 0
-1.385 -1.39 0.78 1 3.67578e-07
-1.375 -1.38 0.79 0 0
-1.365 -1.37 0.8 2 7.35157e-07
-1.355 -1.36 0.81 3 1.10274e-06
-1.345 -1.35 0.82 1 3.67578e-07
-1.335 -1.34 0.83 2 7.35157e-07
-1.325 -1.33 0.84 1 3.67578e-07
-1.315 -1.32 0.85 1 3.67578e-07
-1.305 -1.31 0.86 1 3.67578e-07
-1.295 -1.3 0.87 1 3.67578e-07
-1.285 -1.29 0.88 1 3.67578e-07
-1.275 -1.28 0.89 2 7.35157e-07
-1.265 -1.27 0.9 2 7.35157e-07
-1.255 -1.26 0.91 1 3.67578e-07
-1.245 -1.25 0.92 0 0
-1.235 -1.24 0.93 3 1.10274e-06
-1.225 -1.23 0.94 2 7.35157e-07
-1.215 -1.22 0.95 2 7.35157e-07
-1.205 -1.21 0.96 2 7.35157e-07
-1.195 -1.2 0.97 3 1.10274e-06
-1.185 -1.19 0.98 2 7.35157e-07
-1.175 -1.18 0.99 7 2.57305e-06
-1.165 -1.17 1 0 0
-1.155 -1.16 1.01 3 1.10274e-06
-1.145 -1.15 1.02 2 7.35157e-07
-1.135 -1.14 1.03 2 7.35157e-07
-1.125 -1.13 1.04 6 2.20547e-06
-1.115 -1.12 1.05 0 0
-1.105 -1.11 1.06 3 1.10274e-06
-1.095 -1.1 1.07 3 1.10274e-06
-1.085 -1.09 1.08 3 1.10274e-06
-1.075 -1.08 1.09 0 0
-1.065 -1.07 1.1 5 1.83789e-06
-1.055 -1.06 1.11 9 3.30821e-06
-1.045 -1.05 1.12 6 2.20547e-06
-1.035 -1.04 1.13 6 2.20547e-06
-1.025 -1.03 1.14 8 2.94063e-06
-1.015 -1.02 1.15 9 3.30821e-06
-1.005 -1.01 1.16 7 2.57305e-06
-0.995 -1 1.17 3 1.10274e-06
-0.985 -0.99 1.18 8 2.94063e-06
-0.975 -0.98 1.19 7 2.57305e-06
-0.965 -0.97 1.2 4 1.47031e-06
-0.955 -0.96 1.21 2 7.35157e-07
-0.945 -0.95 1.22 11 4.04336e-06
-0.935 -0.94 1.23 12 4.41094e-06
-0.925 -0.93 1.24 15 5.51368e-06
-0.915 -0.92 1.25 6 2.20547e-06
-0.905 -0.91 1.26 14 5.1461e-06
-0.895 -0.9 1.27 11 4.04336e-06
-0.885 -0.89 1.28 13 4.77852e-06
-0.875 -0.88 1.29 15 5.51368e-06
-0.865 -0.87 1.3 9 3.30821e-06
-0.855 -0.86 1.31 8 2.94063e-06
-0.845 -0.85 1.32 14 5.1461e-06
-0.835 -0.84 1.33 12 4.41094e-06
-0.825 -0.83 1.34 18 6.61641e-06
-0.815 -0.82 1.35 19 6.98399e-06
-0.805 -0.81 1.36 27 9.92462e-06
-0.795 -0.8 1.37 19 6.98399e-06
-0.785 -0.79 1.38 21 7.71915e-06
-0.775 -0.78 1.39 32 1.17625e-05
-0.765 -0.77 1.4 28 1.02922e-05
-0.755 -0.76 1.41 22 8.08672e-06
-0.745 -0.75 1.42 30 1.10274e-05
-0.735 -0.74 1.43 31 1.13949e-05
-0.725 -0.73 1.44 29 1.06598e-05
-0.715 -0.72 1.45 38 1.3968e-05
-0.705 -0.71 1.46 45 1.6541e-05
-0.695 -0.7 1.47 46 1.69086e-05
-0.685 -0.69 1.48 36 1.32328e-05
-0.675 -0.68 1.49 41 1.50707e-05
-0.665 -0.67 1.5 49 1.80113e-05
-0.655 -0.66 1.51 50 1.83789e-05
-0.645 -0.65 1.52 56 2.05844e-05
-0.635 -0.64 1.53 58 2.13195e-05
-0.625 -0.63 1.54 51 1.87465e-05
-0.615 -0.62 1.55 65 2.38926e-05
-0.605 -0.61 1.56 95 3.49199e-05
-0.595 -0.6 1.57 90 3.30821e-05
-0.585 -0.59 1.58 110 4.04336e-05
-0.575 -0.58 1.59 96 3.52875e-05
-0.565 -0.57 1.6 107 3.93309e-05
-0.555 -0.56 1.61 115 4.22715e-05
-0.545 -0.55 1.62 140 5.1461e-05
-0.535 -0.54 1.63 187 6.87372e-05
-0.525 -0.53 1.64 172 6.32235e-05
-0.515 -0.52 1.65 194 7.13102e-05
-0.505 -0.51 1.66 220 8.08672e-05
-0.495 -0.5 1.67 222 8.16024e-05
-0.485 -0.49 1.68 216 7.93969e-05
-0.475 -0.48 1.69 302 0.000111009
-0.465 -0.47 1.7 321 0.000117993
-0.455 -0.46 1.71 369 0.000135636
-0.445 -0.45 1.72 390 0.000143356
-0.435 -0.44 1.73 492 0.000180849
-0.425 -0.43 1.74 537 0.00019739
-0.415 -0.42 1.75 662 0.000243337
-0.405 -0.41 1.76 694 0.000255099
-0.395 -0.4 1.77 812 0.000298474
-0.385 -0.39 1.78 912 0.000335232
-0.375 -0.38 1.79 1082 0.00039772
-0.365 -0.37 1.8 1198 0.000440359
-0.355 -0.36 1.81 1418 0.000521226
-0.345 -0.35 1.82 1666 0.000612386
-0.335 -0.34 1.83 1855 0.000681858
-0.325 -0.33 1.84 2269 0.000834035
-0.315 -0.32 1.85 2599 0.000955336
-0.305 -0.31 1.86 2909 0.00106929
-0.295 -0.3 1.87 3370 0.00123874
-0.285 -0.29 1.88 3813 0.00140158
-0.275 -0.28 1.89 4703 0.00172872
-0.265 -0.27 1.9 5432 0.00199669
-0.255 -0.26 1.91 6305 0.00231758
-0.245 -0.25 1.92 7590 0.00278992
-0.235 -0.24 1.93 8598 0.00316044
-0.225 -0.23 1.94 10146 0.00372945
-0.215 -0.22 1.95 11887 0.0043694
-0.205 -0.21 1.96 13597 0.00499796
-0.195 -0.2 1.97 15876 0.00583567
-0.185 -0.19 1.98 18509 0.00680351
-0.175 -0.18 1.99 21269 0.00781803
-0.165 -0.17 2 24400 0.00896891
-0.155 -0.16 2.01 28104 0.0103304
-0.145 -0.15 2.02 32410 0.0119132
-0.135 -0.14 2.03 36625 0.0134626
-0.125 -0.13 2.04 42237 0.0155254
-0.115 -0.12 2.05 47696 0.017532
-0.105 -0.11 2.06 53845 0.0197923
-0.0949999 -0.0999999 2.07 60677 0.0223036
-0.0849999 -0.0899999 2.08 68103 0.0250332
-0.0749999 -0.0799999 2.09 75045 0.0275849
-0.0649999 -0.0699999 2.1 82925 0.0304814
-0.0549999 -0.0599999 2.11 91230 0.0335342
-0.0449999 -0.05 2.12 99684 0.0366417
-0.0349999 -0.04 2.13 107847 0.0396422
-0.0249999 -0.03 2.14 115263 0.0423682
