Midpoint LowerLim UpperLim Count ProbabilityDensity
-0.405 -0.41 0.01 0 0
-0.395 -0.4 0.02 3 0.000120622
-0.385 -0.39 0.03 1 4.02075e-05
-0.375 -0.38 0.04 2 8.04149e-05
-0.365 -0.37 0.05 0 0
-0.355 -0.36 0.06 1 4.02075e-05
-0.345 -0.35 0.07 1 4.02075e-05
-0.335 -0.34 0.08 2 8.04149e-05
-0.325 -0.33 0.09 3 0.000120622
-0.315 -0.32 0.1 6 0.000241245
-0.305 -0.31 0.11 12 0.00048249
-0.295 -0.3 0.12 6 0.000241245
-0.285 -0.29 0.13 10 0.000402075
-0.275 -0.28 0.14 19 0.000763942
-0.265 -0.27 0.15 12 0.00048249
-0.255 -0.26 0.16 22 0.000884564
-0.245 -0.25 0.17 33 0.00132685
-0.235 -0.24 0.18 51 0.00205058
-0.225 -0.23 0.19 51 0.00205058
-0.215 -0.22 0.2 79 0.00317639
-0.205 -0.21 0.21 92 0.00369909
-0.195 -0.2 0.22 126 0.00506614
-0.185 -0.19 0.23 164 0.00659403
-0.175 -0.18 0.24 218 0.00876523
-0.165 -0.17 0.25 289 0.01162
-0.155 -0.16 0.26 362 0.0145551
-0.145 -0.15 0.27 469 0.0188573
-0.135 -0.14 0.28 583 0.023441
-0.125 -0.13 0.29 717 0.0288288
-0.115 -0.12 0.3 914 0.0367496
-0.105 -0.11 0.31 1125 0.0452334
-0.095 -0.1 0.32 1293 0.0519883
-0.085 -0.09 0.33 1524 0.0612762
-0.075 -0.08 0.34 1646 0.0661815
-0.065 -0.07 0.35 1893 0.0761127
-0.055 -0.06 0.36 2000 0.0804149
-0.045 -0.05 0.37 2156 0.0866873
-0.035 -0.04 0.38 2378 0.0956134
-0.025 -0.03 0.39 2213 0.0889791
-0.015 -0.02 0.4 2379 0.0956536
-0.00500001 -0.01 0.41 2016 0.0810583
0.00499999 0 0.42 0 0
0.015 0.00999999 0.43 0 0
