resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.393284 -0.165652 -0.0908478 -0.117408 -0.0415919 -0.00444682 -1.09369 -6.94767e-07
2 -0.349955 -0.146517 -0.0807337 -0.10395 -0.0371537 -0.00328432 -0.99591 -6.11882e-07
3 -0.343331 -0.137542 -0.0758729 -0.0987627 -0.0346812 -0.00308338 -1.01756 -5.62705e-06
4 -0.24317 -0.109041 -0.0634834 -0.0776273 -0.0306018 -0.00306154 -0.731555 -1.52586e-06
5 -0.192473 -0.0934597 -0.0562675 -0.0659633 -0.0283026 -0.00260281 -0.39551 -5.41669e-06
6 -0.164629 -0.0835831 -0.0516902 -0.0590555 -0.0264237 -0.00260809 -0.380375 -2.91318e-06
7 -0.1459 -0.0766884 -0.0487575 -0.0544631 -0.0256292 -0.00276728 -0.296219 -5.42309e-06
8 -0.1298 -0.0710326 -0.0461693 -0.0504896 -0.0243305 -0.00239417 -0.29376 -5.53136e-06
9 -0.118392 -0.066171 -0.0427687 -0.0470286 -0.0233485 -0.00302352 -0.216956 -6.1919e-06
10 -0.10871 -0.0614695 -0.0405863 -0.0438621 -0.0222432 -0.00245313 -0.173848 -1.53128e-05
