resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.155015 -0.0402692 -0.000784259 0.000528155 0.0393517 0.156077 -2.26645 2.17772
2 -0.162864 -0.0420295 -0.000715084 -0.000330036 0.0412847 0.163825 -1.9128 1.5776
3 -0.163036 -0.042315 -0.00092354 -0.000330845 0.0411888 0.165445 -1.4856 1.227
4 -0.11023 -0.0299794 -0.001044 -0.00036812 0.0284984 0.114196 -0.731046 0.936366
5 -0.0836799 -0.0231729 -0.00101451 -0.000365259 0.0214767 0.0884313 -0.603064 0.966623
6 -0.0687912 -0.0190015 -0.000990679 -0.000337769 0.0172518 0.0742082 -0.384607 0.372535
7 -0.059785 -0.0162132 -0.000959127 -0.000327293 0.0145002 0.0656903 -0.392091 0.333765
8 -0.0538943 -0.014279 -0.000910208 -0.000307391 0.0125332 0.0602032 -0.333377 0.24232
9 -0.0492428 -0.0127616 -0.000925629 -0.000303672 0.0110366 0.0557905 -0.191646 0.224149
10 -0.045599 -0.0116046 -0.000869691 -0.000324376 0.00999094 0.0513496 -0.17342 0.169714
