Midpoint LowerLim UpperLim Count ProbabilityDensity
-0.275 -0.28 0.01 0 0
-0.265 -0.27 0.02 1 1.02283e-06
-0.255 -0.26 0.03 0 0
-0.245 -0.25 0.04 0 0
-0.235 -0.24 0.05 0 0
-0.225 -0.23 0.06 0 0
-0.215 -0.22 0.07 0 0
-0.205 -0.21 0.08 1 1.02283e-06
-0.195 -0.2 0.09 2 2.04566e-06
-0.185 -0.19 0.1 0 0
-0.175 -0.18 0.11 0 0
-0.165 -0.17 0.12 3 3.06849e-06
-0.155 -0.16 0.13 5 5.11416e-06
-0.145 -0.15 0.14 5 5.11416e-06
-0.135 -0.14 0.15 7 7.15982e-06
-0.125 -0.13 0.16 15 1.53425e-05
-0.115 -0.12 0.17 27 2.76165e-05
-0.105 -0.11 0.18 50 5.11416e-05
-0.095 -0.1 0.19 119 0.000121717
-0.085 -0.09 0.2 279 0.00028537
-0.075 -0.08 0.21 719 0.000735416
-0.065 -0.07 0.22 1643 0.00168051
-0.055 -0.06 0.23 4191 0.00428669
-0.045 -0.05 0.24 10254 0.0104881
-0.035 -0.04 0.25 25430 0.0260106
-0.025 -0.03 0.26 59265 0.0606181
-0.015 -0.02 0.27 138502 0.141664
-0.00500001 -0.01 0.28 303014 0.309932
0.00499999 0 0.29 233350 0.238678
0.015 0.00999999 0.3 90353 0.0924159
0.025 0.02 0.31 44516 0.0455324
0.035 0.03 0.32 24838 0.0254051
0.045 0.04 0.33 15583 0.0159388
0.055 0.05 0.34 9859 0.0100841
0.065 0.06 0.35 6319 0.00646327
0.075 0.07 0.36 4017 0.00410871
0.085 0.08 0.37 2337 0.00239036
0.095 0.09 0.38 1343 0.00137366
0.105 0.1 0.39 770 0.00078758
0.115 0.11 0.4 372 0.000380493
0.125 0.12 0.41 231 0.000236274
0.135 0.13 0.42 117 0.000119671
0.145 0.14 0.43 55 5.62557e-05
0.155 0.15 0.44 31 3.17078e-05
0.165 0.16 0.45 27 2.76165e-05
0.175 0.17 0.46 6 6.13699e-06
0.185 0.18 0.47 9 9.20549e-06
0.195 0.19 0.48 4 4.09133e-06
0.205 0.2 0.49 3 3.06849e-06
0.215 0.21 0.5 2 2.04566e-06
0.225 0.22 0.51 0 0
0.235 0.23 0.52 1 1.02283e-06
0.245 0.24 0.53 1 1.02283e-06
0.255 0.25 0.54 0 0
0.265 0.26 0.55 0 0
0.275 0.27 0.56 1 1.02283e-06
0.285 0.28 0.57 0 0
0.295 0.29 0.58 0 0
0.305 0.3 0.59 1 1.02283e-06
0.315 0.31 0.6 0 0
0.325 0.32 0.61 0 0
