Midpoint LowerLim UpperLim Count ProbabilityDensity
-0.285 -0.29 0.01 0 0
-0.275 -0.28 0.02 1 9.13401e-06
-0.265 -0.27 0.03 0 0
-0.255 -0.26 0.04 0 0
-0.245 -0.25 0.05 2 1.8268e-05
-0.235 -0.24 0.06 2 1.8268e-05
-0.225 -0.23 0.07 6 5.4804e-05
-0.215 -0.22 0.08 4 3.6536e-05
-0.205 -0.21 0.09 9 8.2206e-05
-0.195 -0.2 0.1 8 7.3072e-05
-0.185 -0.19 0.11 18 0.000164412
-0.175 -0.18 0.12 25 0.00022835
-0.165 -0.17 0.13 28 0.000255752
-0.155 -0.16 0.14 49 0.000447566
-0.145 -0.15 0.15 68 0.000621112
-0.135 -0.14 0.16 108 0.000986473
-0.125 -0.13 0.17 180 0.00164412
-0.115 -0.12 0.18 327 0.00298682
-0.105 -0.11 0.19 530 0.00484102
-0.095 -0.1 0.2 926 0.00845809
-0.085 -0.09 0.21 1517 0.0138563
-0.075 -0.08 0.22 2490 0.0227437
-0.065 -0.07 0.23 4016 0.0366822
-0.055 -0.06 0.24 6292 0.0574712
-0.045 -0.05 0.25 9627 0.0879331
-0.035 -0.04 0.26 14002 0.127894
-0.025 -0.03 0.27 19376 0.17698
-0.015 -0.02 0.28 24469 0.2235
-0.005 -0.00999999 0.29 25401 0.232013
0.005 0 0.3 0 0
