resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.223255 -0.074611 -0.0401023 -0.0565338 -0.0188584 -0.00174604 -1.74441 -9.31323e-10
2 -0.187065 -0.0676531 -0.0371268 -0.0503309 -0.0175828 -0.00161628 -1.11948 -4.65661e-10
3 -0.164013 -0.061381 -0.034039 -0.0453272 -0.0162648 -0.00147013 -1.05817 -4.01866e-07
4 -0.134185 -0.0527408 -0.0294557 -0.0385056 -0.0140806 -0.00130041 -0.686713 -3.80911e-07
5 -0.114623 -0.0464151 -0.0261016 -0.0336739 -0.0125578 -0.00115256 -0.47098 -6.24917e-07
6 -0.101162 -0.0421964 -0.0237585 -0.0303205 -0.0113225 -0.00107422 -0.360025 -2.00933e-07
7 -0.0909511 -0.0389882 -0.0222427 -0.0279619 -0.0107701 -0.00101092 -0.277339 -2.16998e-07
8 -0.0821941 -0.0365269 -0.0208031 -0.0259823 -0.010064 -0.000992461 -0.200657 -3.1665e-08
9 -0.075575 -0.0341242 -0.019483 -0.0241462 -0.0093775 -0.000863797 -0.20369 -2.10339e-06
10 -0.070512 -0.0325152 -0.0187268 -0.0229969 -0.00917158 -0.000876589 -0.174929 -5.20813e-08
