resoulution 2pc 25pc median mean 75pc 98pc minimum maximum
1 -0.201352 -0.0408157 -0.00752213 0.00608068 0.0252791 0.294459 -12.2947 10.729
2 -0.188798 -0.040177 -0.00715932 -0.000151584 0.0258453 0.274179 -9.86066 10.1382
3 -0.176457 -0.0394306 -0.00688256 -0.000336964 0.025975 0.255992 -8.49094 7.07601
4 -0.13162 -0.0315943 -0.00609156 -5.83516e-05 0.0197755 0.198183 -4.2154 4.09878
5 -0.105171 -0.026814 -0.00532125 -5.21687e-05 0.016715 0.159649 -2.97318 2.46222
6 -0.0894112 -0.0237805 -0.00474266 -3.07739e-05 0.0150217 0.135274 -1.98922 2.69484
7 -0.0785334 -0.0216125 -0.00428429 -3.60967e-05 0.0139247 0.117555 -1.19431 1.64297
8 -0.069965 -0.0198029 -0.00381641 -3.50772e-05 0.0132046 0.10265 -0.719855 0.858868
9 -0.0638526 -0.0184594 -0.00346611 -3.53255e-05 0.0126561 0.0921004 -0.773854 1.0032
10 -0.0585582 -0.0172604 -0.00314604 -3.39425e-05 0.0122161 0.0828309 -0.504945 0.52893
