Midpoint LowerLim UpperLim Count ProbabilityDensity
15 10 10 0 0
25 20 20 732 0.019289
35 30 30 2851 0.0751271
45 40 40 3111 0.0819784
55 50 50 3142 0.0827953
65 60 60 3117 0.0821365
75 70 70 2979 0.0785001
85 80 80 2868 0.0755751
95 90 90 3083 0.0812406
105 100 100 2763 0.0728082
115 110 110 2264 0.059659
125 120 120 1919 0.0505679
135 130 130 1671 0.0440328
145 140 140 1360 0.0358376
155 150 150 1271 0.0334923
165 160 160 1022 0.0269309
175 170 170 756 0.0199215
185 180 180 582 0.0153364
195 190 190 504 0.013281
205 200 200 366 0.00964452
215 210 210 297 0.00782629
225 220 220 253 0.00666684
235 230 230 192 0.00505942
245 240 240 175 0.00461145
255 250 250 101 0.00266147
265 260 260 91 0.00239796
275 270 270 66 0.00173918
285 280 280 70 0.00184458
295 290 290 43 0.0011331
305 300 300 36 0.000948642
315 310 310 33 0.000869588
325 320 320 27 0.000711481
335 330 330 25 0.000658779
345 340 340 21 0.000553374
355 350 350 18 0.000474321
365 360 360 20 0.000527023
375 370 370 15 0.000395267
385 380 380 11 0.000289863
395 390 390 11 0.000289863
405 400 400 13 0.000342565
415 410 410 12 0.000316214
425 420 420 6 0.000158107
435 430 430 11 0.000289863
445 440 440 6 0.000158107
455 450 450 8 0.000210809
465 460 460 2 5.27023e-05
475 470 470 5 0.000131756
485 480 480 4 0.000105405
495 490 490 4 0.000105405
505 500 500 2 5.27023e-05
515 510 510 3 7.90535e-05
525 520 520 0 0
535 530 530 1 2.63512e-05
545 540 540 3 7.90535e-05
555 550 550 1 2.63512e-05
565 560 560 0 0
575 570 570 0 0
585 580 580 1 2.63512e-05
595 590 590 1 2.63512e-05
605 600 600 0 0
615 610 610 0 0
