Midpoint LowerLim UpperLim Count ProbabilityDensity
35 30 10 0 0
45 40 20 143 0.0140998
55 50 30 606 0.0597515
65 60 40 1961 0.193354
75 70 50 740 0.0729639
85 80 60 1214 0.1197
95 90 70 791 0.0779925
105 100 80 656 0.0646815
115 110 90 769 0.0758233
125 120 100 387 0.0381582
135 130 110 649 0.0639913
145 140 120 342 0.0337212
155 150 130 311 0.0306646
165 160 140 272 0.0268192
175 170 150 187 0.0184382
185 180 160 242 0.0238612
195 190 170 126 0.0124236
205 200 180 138 0.0136068
215 210 190 100 0.00985999
225 220 200 66 0.00650759
235 230 210 78 0.00769079
245 240 220 55 0.00542299
255 250 230 51 0.00502859
265 260 240 36 0.0035496
275 270 250 31 0.0030566
285 280 260 35 0.003451
295 290 270 28 0.0027608
305 300 280 19 0.0018734
315 310 290 15 0.001479
325 320 300 15 0.001479
335 330 310 11 0.0010846
345 340 320 15 0.001479
355 350 330 7 0.000690199
365 360 340 11 0.0010846
375 370 350 8 0.000788799
385 380 360 4 0.0003944
395 390 370 6 0.000591599
405 400 380 5 0.000492999
415 410 390 3 0.0002958
425 420 400 1 9.85999e-05
435 430 410 1 9.85999e-05
445 440 420 1 9.85999e-05
455 450 430 2 0.0001972
465 460 440 1 9.85999e-05
475 470 450 1 9.85999e-05
485 480 460 0 0
495 490 470 0 0
505 500 480 0 0
515 510 490 0 0
525 520 500 0 0
535 530 510 1 9.85999e-05
545 540 520 1 9.85999e-05
555 550 530 0 0
565 560 540 0 0
