Midpoint LowerLim UpperLim Count ProbabilityDensity
25 20 10 0 0
35 30 20 1315 0.159278
45 40 30 2677 0.324249
55 50 40 1712 0.207364
65 60 50 997 0.120761
75 70 60 632 0.0765504
85 80 70 374 0.0453004
95 90 80 244 0.0295543
105 100 90 124 0.0150194
115 110 100 72 0.00872093
125 120 110 41 0.00496609
135 130 120 24 0.00290698
145 140 130 22 0.00266473
155 150 140 7 0.000847868
165 160 150 4 0.000484496
175 170 160 2 0.000242248
185 180 170 3 0.000363372
195 190 180 4 0.000484496
205 200 190 2 0.000242248
215 210 200 0 0
225 220 210 0 0
