Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 2202 0.0511522
25 20 30 10450 0.242752
35 30 40 9568 0.222264
45 40 50 7297 0.169508
55 50 60 5029 0.116823
65 60 70 3286 0.0763334
75 70 80 2178 0.0505947
85 80 90 1317 0.0305938
95 90 100 781 0.0181425
105 100 110 460 0.0106857
115 110 120 230 0.00534287
125 120 130 145 0.00336833
135 130 140 67 0.0015564
145 140 150 22 0.000511057
155 150 160 6 0.000139379
165 160 170 6 0.000139379
175 170 180 2 4.64598e-05
185 180 190 2 4.64598e-05
195 190 200 0 0
205 200 210 0 0
