resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 6.89938 68.8542 114.529 120.952 162.132 300.193 2.00007 809.756
2 9.22711 68.4734 110.434 118.485 156.961 297.154 4.00185 812.57
3 11.1866 66.8176 106.464 114.737 151.037 286.626 6.00034 669.632
4 14.0165 65.3535 103.021 111.163 146.12 272.207 8.0012 717.706
5 15.5271 64.9816 101.661 110.411 143.718 272.07 10.001 662.584
6 17.0559 63.9118 99.4314 107.991 140.96 260.989 12.0082 625.72
7 18.6253 62.2769 96.72 106.174 137.523 263.006 14.0048 615.137
8 20.7163 61.7745 95.4626 105.278 135.895 259.224 16.0043 608.827
9 22.9027 60.4504 93.7547 103.409 133.43 253.49 18.0006 609.567
10 25.288 59.7613 92.22 101.809 131.037 245.975 20.0054 593.56
12 30.0179 58.6406 90.4336 100.167 128.171 244.736 24.0047 592.53
14 32.9343 60.6298 89.2704 100.308 125.638 248.949 28.0003 587.722
16 36.1726 59.5593 88.5205 99.0407 123.575 239.293 32.0094 584.506
18 39.0667 63.5112 86.372 99.307 122.772 239.862 36.0105 566.366
20 42.9662 63.6583 90.3912 100.853 123.615 243.302 40.0055 578.442
22 46.6307 71.2789 110.311 143.904 174.202 466.92 44.0013 1430.84
24 50.4547 67.0065 90.8246 106.86 128.667 267.501 48.0219 732.049
26 54.7149 78.4155 111.058 141.081 168.396 433.981 52.0075 964.035
28 58.5186 83.314 113.08 144.909 168.328 453.57 56.0145 899.604
30 62.1677 89.265 114.722 140.246 161.928 423.849 60.016 1000.66
