resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 6.89938 68.8542 114.529 120.952 162.132 300.193 2.00007 809.756
2 9.43745 68.7318 109.579 117.611 155.6 290.166 4.00018 812.57
3 11.5315 67.1283 105.198 113.687 148.948 283.141 6.00025 669.632
4 14.8155 69.4291 104.326 113.778 146.492 282.05 8.00339 717.706
5 17.5202 67.4223 101.352 111.063 143.004 272.549 10.001 808.496
6 19.0208 66.8996 98.7988 108.664 139.037 262.234 12.0059 625.72
7 20.1598 66.0522 96.5759 107.135 136.597 262.603 14.0064 575.109
8 22.1251 64.5223 94.934 106.326 134.769 265.776 16.0251 599.481
9 23.8636 62.6132 92.0211 102.978 131.233 250.292 18.0006 878.894
10 26.2481 65.4147 93.9831 105.08 132.481 257.156 20.0054 619.15
12 30.3503 62.3455 90.5919 101.563 128.84 247.988 24.0158 555.497
14 35.0467 63.4626 89.9123 100.813 125.599 249.161 28.0092 657.422
16 36.4843 59.0829 88.0328 99.1777 123.893 244.412 32.001 588.984
18 39.8397 63.7127 86.6194 101.819 125.046 260.619 36.0105 554.933
20 43.5937 64.6544 91.6319 106.759 131.3 279.474 40.0001 1047.79
22 47.9364 73.411 104.469 127.845 156.585 358.667 44.001 923.937
24 50.5975 68.0106 94.4207 111.163 134.982 275.785 48.0023 542.107
26 54.3495 72.9525 99.0207 117.807 143.849 292.781 52.0585 558.927
28 58.7219 76.0809 103.982 124.375 148.01 325.589 56.0057 576.09
30 62.3169 80.2352 107.807 126.832 147.728 320.693 60.0129 547.97
