resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 3.42621 20.6828 38.436 41.6938 57.9254 105.321 2 191.223
2 5.64448 21.8167 37.7871 41.5776 56.6154 105.058 4.00021 201.142
3 7.45087 22.0681 37.0231 41.1941 55.4088 104.663 6.00043 221.001
4 9.24175 22.8901 37.1513 41.2774 54.7 102.299 8.00006 202.265
5 11.2172 24.035 37.7931 41.9505 54.9665 101.013 10.0008 203.036
6 13.0866 25.0336 38.0915 42.2946 54.413 100.774 12.0002 214.379
7 14.9642 25.7098 38.1086 42.545 54.1505 99.8546 14.0001 190.74
8 16.8439 26.9471 38.5824 43.219 54.3256 99.5634 16.004 194.722
9 18.7645 28.1951 39.1506 44.2346 54.9259 101.146 18.0002 189.898
10 20.7484 29.6121 40.2442 45.0994 55.3622 100.228 20.0015 210.887
12 24.6291 32.2868 41.9383 46.7505 56.1322 98.2606 24.0014 179.527
14 28.5531 35.5914 45.0385 49.9201 58.9626 102.453 28.0038 203.292
16 32.4494 38.4957 47.1847 52.1254 60.753 102.274 32.0003 208.613
18 36.4469 42.1989 50.4279 55.2956 63.4229 104.204 36.0015 189.52
20 40.4303 46.0192 53.8938 58.6597 67.0179 106.759 40.0036 152.893
22 44.5267 49.9078 57.2993 62.2115 69.0754 111.67 44.0183 211.205
24 48.3943 53.4069 60.9891 65.2638 72.8573 105.71 48.0017 159.97
26 52.3811 56.9145 64.2258 69.1879 75.6222 118.04 52.0143 202.923
28 56.2985 60.3315 66.4346 72.1364 77.6701 119.891 56.0169 202.59
30 60.3779 64.2183 70.683 76.7331 83.3336 118.116 60.1383 204.243
