resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 3.42621 20.6828 38.436 41.6938 57.9254 105.321 2 191.223
2 5.81646 21.9382 37.6985 41.5227 56.648 104.73 4.00003 201.142
3 7.42373 21.8439 36.5475 40.4536 54.3531 100.966 6.00009 179.712
4 9.31797 23.5099 37.9325 42.013 55.4714 102.304 8.00009 202.265
5 11.2399 24.15 37.8629 42.0041 55.2322 100.115 10.0019 203.036
6 13.0869 25.0888 38.177 42.4654 54.9076 99.4373 12.0013 214.379
7 15.0269 26.5409 38.9693 43.3766 55.1006 100.662 14.0019 190.74
8 16.8897 27.4593 39.2531 43.7235 54.8331 100.283 16.0001 194.722
9 18.8674 28.3118 39.2908 43.9526 54.4233 99.1786 18.0053 184.085
10 20.8086 30.2977 40.8554 45.7725 56.3462 100.76 20.001 203.113
12 24.7279 32.5874 42.5254 47.6751 57.2435 103.544 24.0014 216.155
14 28.5256 35.6073 44.8157 49.8395 58.6103 101.505 28.0009 217.438
16 32.4975 38.7027 47.8558 52.981 61.1404 104.863 32.0003 213.622
18 36.4653 42.4307 50.5804 56.4005 64.2699 111.973 36.0015 206.63
20 40.4421 46.375 55.0641 60.7532 69.4658 115.911 40.0066 224.795
22 44.3822 50.4751 60.2288 66.4367 77.8596 120.549 44.0297 136.885
24 48.4051 54.187 62.7342 67.7552 75.5273 124.807 48.0009 190.066
26 52.4385 58.1682 66.7341 72.1292 79.3121 128.358 52.0146 213.13
28 56.4854 62.1002 70.8023 75.2074 83.1595 124.762 56.0052 180.926
30 60.5161 66.4025 74.457 79.0701 86.5844 130.821 60.0077 175.148
