Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 428 0.0031589
15 10 30 6200 0.0457598
25 20 40 7163 0.0528674
35 30 50 10520 0.0776441
45 40 60 13529 0.0998524
55 50 70 18291 0.134999
65 60 80 17947 0.13246
75 70 90 15961 0.117802
85 80 100 12417 0.0916451
95 90 110 9180 0.0677541
105 100 120 6405 0.0472729
115 110 130 4574 0.0337589
125 120 140 3305 0.0243929
135 130 150 2382 0.0175806
145 140 160 1587 0.011713
155 150 170 1268 0.00935862
165 160 180 954 0.00704111
175 170 190 687 0.00507048
185 180 200 506 0.00373459
195 190 210 425 0.00313676
205 200 220 354 0.00261274
215 210 230 267 0.00197063
225 220 240 185 0.00136541
235 230 250 183 0.00135065
245 240 260 156 0.00115138
255 250 270 120 0.000885674
265 260 280 94 0.000693778
275 270 290 65 0.00047974
285 280 300 69 0.000509263
295 290 310 58 0.000428076
305 300 320 43 0.000317367
315 310 330 41 0.000302605
325 320 340 35 0.000258322
335 330 350 23 0.000169754
345 340 360 18 0.000132851
355 350 370 17 0.000125471
365 360 380 6 4.42837e-05
375 370 390 8 5.90449e-05
385 380 400 11 8.11868e-05
395 390 410 2 1.47612e-05
405 400 420 1 7.38062e-06
415 410 430 1 7.38062e-06
425 420 440 0 0
435 430 450 0 0
445 440 460 0 0
455 450 470 2 1.47612e-05
465 460 480 2 1.47612e-05
475 470 490 0 0
485 480 500 0 0
