Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 412 0.00971721
25 20 30 3378 0.0796717
35 30 40 3337 0.0787047
45 40 50 3858 0.0909927
55 50 60 4252 0.100285
65 60 70 5052 0.119154
75 70 80 4221 0.0995542
85 80 90 3387 0.079884
95 90 100 2701 0.0637043
105 100 110 2277 0.0537041
115 110 120 1782 0.0420293
125 120 130 1346 0.031746
135 130 140 1045 0.0246468
145 140 150 823 0.0194108
155 150 160 703 0.0165806
165 160 170 532 0.0125475
175 170 180 443 0.0104484
185 180 190 385 0.0090804
195 190 200 283 0.00667469
205 200 210 208 0.00490578
215 210 220 185 0.00436331
225 220 230 175 0.00412746
235 230 240 136 0.00320762
245 240 250 125 0.00294818
255 250 260 127 0.00299535
265 260 270 119 0.00280667
275 270 280 102 0.00240572
285 280 290 91 0.00214628
295 290 300 85 0.00200476
305 300 310 89 0.00209911
315 310 320 65 0.00153305
325 320 330 71 0.00167457
335 330 340 48 0.0011321
345 340 350 49 0.00115569
355 350 360 49 0.00115569
365 360 370 49 0.00115569
375 370 380 37 0.000872662
385 380 390 38 0.000896248
395 390 400 43 0.00101417
405 400 410 41 0.000967004
415 410 420 28 0.000660393
425 420 430 21 0.000495295
435 430 440 23 0.000542466
445 440 450 24 0.000566051
455 450 460 26 0.000613222
465 460 470 17 0.000400953
475 470 480 21 0.000495295
485 480 490 14 0.000330196
495 490 500 7 0.000165098
505 500 510 7 0.000165098
515 510 520 6 0.000141513
525 520 530 8 0.000188684
535 530 540 7 0.000165098
545 540 550 2 4.71709e-05
555 550 560 4 9.43418e-05
565 560 570 2 4.71709e-05
575 570 580 0 0
585 580 590 6 0.000141513
595 590 600 3 7.07564e-05
605 600 610 1 2.35855e-05
615 610 620 2 4.71709e-05
625 620 630 2 4.71709e-05
635 630 640 1 2.35855e-05
645 640 650 3 7.07564e-05
655 650 660 4 9.43418e-05
665 660 670 3 7.07564e-05
675 670 680 3 7.07564e-05
685 680 690 2 4.71709e-05
695 690 700 1 2.35855e-05
705 700 710 1 2.35855e-05
715 710 720 0 0
725 720 730 1 2.35855e-05
735 730 740 0 0
745 740 750 0 0
