Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 2344 0.0460167
25 20 30 4638 0.0910519
35 30 40 6452 0.126664
45 40 50 8157 0.160136
55 50 60 7830 0.153716
65 60 70 6691 0.131356
75 70 80 5125 0.100613
85 80 90 3771 0.0740312
95 90 100 2433 0.0477639
105 100 110 1567 0.0307629
115 110 120 904 0.0177471
125 120 130 518 0.0101692
135 130 140 283 0.00555577
145 140 150 128 0.00251286
155 150 160 52 0.00102085
165 160 170 19 0.000373002
175 170 180 14 0.000274844
185 180 190 5 9.81585e-05
195 190 200 4 7.85268e-05
205 200 210 0 0
215 210 220 1 1.96317e-05
225 220 230 2 3.92634e-05
235 230 240 0 0
245 240 250 0 0
