Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 3074 0.0557349
25 20 30 9501 0.172263
35 30 40 12020 0.217935
45 40 50 11346 0.205715
55 50 60 7656 0.138811
65 60 70 4770 0.0864851
75 70 80 2891 0.0524169
85 80 90 1613 0.0292454
95 90 100 1035 0.0187656
105 100 110 579 0.0104979
115 110 120 299 0.00542118
125 120 130 161 0.0029191
135 130 140 99 0.00179497
145 140 150 47 0.000852159
155 150 160 39 0.000707111
165 160 170 7 0.000126917
175 170 180 9 0.000163179
185 180 190 5 9.06553e-05
195 190 200 3 5.43932e-05
205 200 210 0 0
215 210 220 0 0
