resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 6.59138 53.9774 82.1827 86.4135 111.725 206.973 2.00004 560.452
2 9.32027 54.4683 80.6189 87.0782 110.322 216.675 4.00116 1575.76
3 10.9911 53.7958 79.4361 87.1828 110.017 224.787 6.00573 548.744
4 14.0276 52.7331 77.7112 86.9381 108.595 237.159 8.01383 494.557
5 14.745 51.7271 76.257 87.1848 108.096 258.378 10.0032 495.405
6 16.4245 51.3664 75.5414 88.3393 107.744 275.894 12.0241 521.884
7 18.0535 49.2878 73.7024 85.8217 104.461 265.019 14.0184 555.53
8 20.3003 48.7426 71.9557 87.8447 104.615 297.679 16.0058 723.175
9 22.6778 49.5644 71.4322 88.0663 104.881 293.785 18.005 664.914
10 25.0671 47.5119 70.3925 87.8895 104.284 300.943 20.0065 670.293
12 28.816 47.7814 69.5144 86.5234 103.024 280.293 24.0033 949.296
14 31.7106 50.0247 70.6603 91.2754 105.947 328.086 28.0027 665.337
16 34.6326 51.0472 72.6896 91.9993 105.772 311.405 32.0074 666.759
18 38.2915 52.9031 74.7233 99.0564 110.062 353.748 36.0109 698.837
20 42.6317 64.799 102.653 141.987 172.263 522.908 40.0138 1839.2
22 47.0697 70.8053 106.378 148.118 177.158 569.204 44.0187 1696.01
24 50.4848 72.6998 105.543 147.859 175.447 522.291 48.0015 955.379
26 54.9087 77.363 108.126 152.365 183.937 534.691 52.0072 1661.02
28 57.4789 74.3414 98.5168 128.818 143.154 430.777 56.0105 936.593
30 62.5089 89.0901 114.21 149.794 173.608 494.275 60.0192 1504.82
