resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 6.59138 53.9774 82.1827 86.4135 111.725 206.973 2.00004 560.452
2 9.34898 54.5929 77.6286 82.6321 103.859 196.746 4.00028 433.224
3 11.0682 47.9095 68.6437 74.432 92.7041 184.916 6 446.77
4 14.0802 47.2336 66.4742 72.2505 89.1778 179.706 8.00023 468.804
5 14.2451 44.5634 62.3666 69.983 84.2512 186.96 10.0019 406.653
6 16.1157 45.0635 62.1242 69.4792 83.9784 182.259 12.0052 521.884
7 17.8506 41.5562 59.2876 66.4194 80.9787 173.122 14 1646.05
8 20.1271 39.4488 55.4595 64.4587 77.7655 176.027 16.0005 505.79
9 22.7421 44.5129 61.3223 70.8232 85.0043 188.736 18.0083 520.323
10 25.1435 46.8603 65.6343 74.6665 88.8634 201.553 20.0031 554.842
12 26.6189 41.2493 55.0025 66.4005 79.1359 191.627 24.0033 1479.34
14 30.2417 41.2425 56.6647 71.3346 82.3071 212.955 28.0091 1447.14
16 33.4564 44.0722 60.6349 76.7992 89.8189 232.629 32.0063 556.484
18 39.2231 53.9544 73.37 89.2927 103.554 253.171 36 511.656
20 44.7561 67.2507 107.952 147.486 182.312 501.098 40.0006 1734.54
22 47.9397 66.8484 99.7904 138.546 166.266 502.335 44.0174 1517.44
24 52.5146 77.7587 115.197 153.516 190.788 473.781 48.1211 1692.41
26 57.3933 84.2386 133.918 184.074 220.886 636.917 52.1783 1725.51
28 58.4057 78.0852 104.548 133.038 154.943 408.138 56.0505 1162.86
30 65.5905 91.1569 130.036 179.923 212.886 640.651 60.0647 1306.57
