resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 5.00419 39.9439 58.9806 59.1842 77.8569 121.753 2.00021 222.1
2 7.71054 40.6638 58.0865 59.2621 76.5688 121.76 4.00008 282.132
3 9.63642 40.5206 57.2961 59.1043 76.0766 121.13 6.00342 220.738
4 11.7291 40.2842 56.6983 58.9298 75.5002 121.273 8.00269 218.527
5 13.3831 39.829 56.2649 59.013 75.4983 123.211 10.0005 220.138
6 15.2493 39.7548 55.6526 59.0575 75.2425 124.106 12.0037 218.821
7 16.6075 39.0828 54.706 57.9739 73.8445 120.119 14.0006 224.592
8 18.4194 39.0714 54.3604 58.3119 73.7809 122.159 16.0003 217.434
9 20.2724 38.9012 54.3164 58.5138 74.0181 123.03 18.0049 219.36
10 21.9062 38.8391 53.619 58.0885 73.0291 121.895 20.0007 214.49
12 25.4653 39.4107 53.2328 58.0148 71.8526 120.554 24.0017 213.668
14 29.1765 41.2176 54.9205 60.0132 73.4051 122.52 28.0005 216.954
16 33.0111 42.8728 55.7193 61.2239 73.7831 123.2 32.012 237.663
18 36.8327 45.8776 58.4527 63.7629 75.7156 124.172 36.003 209.543
20 40.7261 49.9585 63.1033 71.6097 84.1716 156.058 40.0166 233.968
22 44.6949 53.6997 67.2639 76.0129 88.1731 163.669 44.0134 235.859
24 48.7201 56.6289 69.0734 77.5021 88.0003 163.2 48.0335 219.088
26 52.5965 60.6725 73.3827 82.2565 95.4963 162.699 52.0286 233.189
28 56.771 63.7488 73.1647 79.4615 88.9807 136.355 56.0343 196.253
30 60.4767 68.0929 79.9142 87.1112 97.7748 157.197 60.0126 234.311
