resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 5.00419 39.9439 58.9806 59.1842 77.8569 121.753 2.00021 222.1
2 7.63686 39.2586 55.773 56.992 72.4911 118.59 4.00043 180.007
3 8.71037 32.1318 47.6102 49.0529 63.0529 106.234 6.00211 190.377
4 10.5531 32.7668 47.0922 48.9104 62.1716 105.414 8.00031 181.376
5 12.5253 33.8586 46.5537 49.4287 61.3974 108.081 10.0052 173.537
6 14.0314 32.5576 45.4802 48.3195 60.0339 106.413 12.0009 192.658
7 15.708 31.5612 43.9247 47.067 58.3886 102.397 14 195.633
8 17.4691 31.0706 42.3769 46.1758 56.53 101.959 16.0045 194.153
9 19.7319 35.3403 47.2195 50.9606 62.2005 109.099 18 219.36
10 21.7636 36.7314 49.3578 52.9827 64.4715 110.554 20.0041 214.49
12 24.8154 33.3628 43.0027 48.7208 58.224 107.968 24.0006 208.298
14 28.6862 36.1705 45.8479 52.0378 61.2942 114.179 28.0005 214.645
16 32.6392 39.3982 49.1594 55.4468 65.2018 117.214 32.001 237.663
18 37.0847 46.778 58.4653 63.6258 74.9826 122.772 36.003 202.539
20 40.8808 51.1588 65.5868 74.8306 88.2184 163.839 40.0036 243.874
22 44.7072 53.3369 66.4044 75.2741 88.0234 161.383 44.0134 235.859
24 48.7997 58.676 72.446 81.4236 94.3415 164.344 48.0096 246.403
26 52.9405 63.971 78.929 90.0506 105.157 192.452 52.0112 243.553
28 56.8501 64.4283 75.5482 82.3474 92.7123 149.954 56.0008 240.115
30 61.0599 70.8467 84.3385 94.4683 108.495 189.919 60.0183 242.802
