Midpoint LowerLim UpperLim Count ProbabilityDensity
15 10 10 0 0
25 20 20 520 0.00924198
35 30 30 6654 0.118262
45 40 40 5308 0.0943393
55 50 50 6817 0.121159
65 60 60 6868 0.122065
75 70 70 5069 0.0900915
85 80 80 4068 0.0723007
95 90 90 4059 0.0721408
105 100 100 2982 0.0529992
115 110 110 2263 0.0402204
125 120 120 1998 0.0355105
135 130 130 1656 0.0294322
145 140 140 1260 0.022394
155 150 150 1027 0.0182529
165 160 160 975 0.0173287
175 170 170 721 0.0128144
185 180 180 605 0.0107527
195 190 190 591 0.0105039
205 200 200 455 0.00808673
215 210 210 366 0.00650493
225 220 220 293 0.0052075
235 230 230 264 0.00469208
245 240 240 200 0.00355461
255 250 250 177 0.00314583
265 260 260 150 0.00266596
275 270 270 110 0.00195503
285 280 280 101 0.00179508
295 290 290 108 0.00191949
305 300 300 87 0.00154625
315 310 310 62 0.00110193
325 320 320 62 0.00110193
335 330 330 56 0.00099529
345 340 340 49 0.000870879
355 350 350 39 0.000693148
365 360 360 49 0.000870879
375 370 370 34 0.000604283
385 380 380 26 0.000462099
395 390 390 27 0.000479872
405 400 400 27 0.000479872
415 410 410 13 0.00023105
425 420 420 15 0.000266596
435 430 430 13 0.00023105
445 440 440 7 0.000124411
455 450 450 7 0.000124411
465 460 460 5 8.88652e-05
475 470 470 2 3.55461e-05
485 480 480 5 8.88652e-05
495 490 490 0 0
505 500 500 6 0.000106638
515 510 510 1 1.7773e-05
525 520 520 2 3.55461e-05
535 530 530 0 0
545 540 540 1 1.7773e-05
555 550 550 1 1.7773e-05
565 560 560 0 0
575 570 570 2 3.55461e-05
585 580 580 0 0
595 590 590 1 1.7773e-05
605 600 600 1 1.7773e-05
615 610 610 0 0
625 620 620 0 0
