Midpoint LowerLim UpperLim Count ProbabilityDensity
5 0 10 0 0
15 10 20 13344 0.061467
25 20 30 21915 0.100948
35 30 40 29304 0.134984
45 40 50 29184 0.134431
55 50 60 26579 0.122432
65 60 70 24297 0.11192
75 70 80 17386 0.0800859
85 80 90 13821 0.0636643
95 90 100 9858 0.0454093
105 100 110 7449 0.0343126
115 110 120 5500 0.0253349
125 120 130 4205 0.0193697
135 130 140 3194 0.0147127
145 140 150 2413 0.0111151
155 150 160 1801 0.00829602
165 160 170 1393 0.00641663
175 170 180 1070 0.00492879
185 180 190 828 0.00381405
195 190 200 736 0.00339027
205 200 210 547 0.00251967
215 210 220 443 0.00204061
225 220 230 359 0.00165368
235 230 240 283 0.00130359
245 240 250 196 0.000902843
255 250 260 184 0.000847567
265 260 270 142 0.000654101
275 270 280 103 0.000474453
285 280 290 79 0.000363901
295 290 300 64 0.000294806
305 300 310 58 0.000267168
315 310 320 28 0.000128978
325 320 330 28 0.000128978
335 330 340 26 0.000119765
345 340 350 28 0.000128978
355 350 360 24 0.000110552
365 360 370 26 0.000119765
375 370 380 24 0.000110552
385 380 390 27 0.000124371
395 390 400 16 7.37015e-05
405 400 410 20 9.21268e-05
415 410 420 23 0.000105946
425 420 430 22 0.00010134
435 430 440 11 5.06698e-05
445 440 450 11 5.06698e-05
455 450 460 5 2.30317e-05
465 460 470 3 1.3819e-05
475 470 480 2 9.21268e-06
485 480 490 3 1.3819e-05
495 490 500 2 9.21268e-06
505 500 510 5 2.30317e-05
515 510 520 4 1.84254e-05
525 520 530 2 9.21268e-06
535 530 540 2 9.21268e-06
545 540 550 2 9.21268e-06
555 550 560 2 9.21268e-06
565 560 570 0 0
575 570 580 0 0
585 580 590 0 0
595 590 600 0 0
605 600 610 0 0
615 610 620 0 0
625 620 630 0 0
635 630 640 0 0
645 640 650 0 0
655 650 660 0 0
665 660 670 0 0
675 670 680 0 0
685 680 690 0 0
695 690 700 0 0
705 700 710 0 0
715 710 720 0 0
725 720 730 0 0
735 730 740 0 0
745 740 750 0 0
755 750 760 0 0
765 760 770 0 0
775 770 780 0 0
785 780 790 0 0
795 790 800 0 0
805 800 810 0 0
815 810 820 0 0
825 820 830 0 0
835 830 840 0 0
845 840 850 0 0
855 850 860 0 0
865 860 870 0 0
875 870 880 1 4.60634e-06
885 880 890 2 9.21268e-06
895 890 900 3 1.3819e-05
905 900 910 3 1.3819e-05
915 910 920 1 4.60634e-06
925 920 930 0 0
935 930 940 0 0
945 940 950 1 4.60634e-06
955 950 960 0 0
965 960 970 0 0
