Midpoint LowerLim UpperLim Count ProbabilityDensity
-5 -10 10 0 0
5 0 20 83446 0.0777564
15 10 30 169924 0.158338
25 20 40 198665 0.185119
35 30 50 201774 0.188016
45 40 60 161066 0.150084
55 50 70 105369 0.0981846
65 60 80 65652 0.0611757
75 70 90 38335 0.0357212
85 80 100 21703 0.0202232
95 90 110 12433 0.0115853
105 100 120 6355 0.0059217
115 110 130 3421 0.00318775
125 120 140 2067 0.00192607
135 130 150 1133 0.00105575
145 140 160 665 0.000619658
155 150 170 420 0.000391363
165 160 180 266 0.000247863
175 170 190 182 0.000169591
185 180 200 172 0.000160273
195 190 210 60 5.5909e-05
205 200 220 50 4.65909e-05
215 210 230 11 1.025e-05
225 220 240 2 1.86363e-06
235 230 250 0 0
245 240 260 1 9.31817e-07
255 250 270 0 0
265 260 280 0 0
