Midpoint LowerLim UpperLim Count ProbabilityDensity
35 30 10 0 0
45 40 20 568 0.0741127
55 50 30 2247 0.293189
65 60 40 1556 0.203027
75 70 50 1079 0.140788
85 80 60 732 0.0955115
95 90 70 488 0.0636743
105 100 80 323 0.0421451
115 110 90 199 0.0259656
125 120 100 144 0.0187891
135 130 110 104 0.0135699
145 140 120 80 0.0104384
155 150 130 57 0.00743737
165 160 140 36 0.00469729
175 170 150 16 0.00208768
185 180 160 13 0.00169624
195 190 170 3 0.00039144
205 200 180 3 0.00039144
215 210 190 4 0.000521921
225 220 200 7 0.000913361
235 230 210 2 0.00026096
245 240 220 1 0.00013048
255 250 230 2 0.00026096
265 260 240 0 0
275 270 250 0 0
