resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 5.52418 40.6717 66.2179 72.6776 95.0615 198.32 2.00001 606.724
2 7.25962 40.0177 63.8137 70.5953 91.2988 191.512 4.00017 623.202
3 9.17002 39.0756 61.5707 68.8352 88.2044 188.332 6.00005 599.405
4 10.7934 38.4378 59.6212 67.4808 85.821 185.555 8.00005 956.691
5 12.8396 37.8777 58.1426 66.442 83.8604 185.133 10.0004 819.751
6 15.1811 37.2831 57.1668 65.4191 82.358 180.823 12.001 593.421
7 17.5663 36.8194 55.0455 64.4745 80.6259 180.318 14.0003 944.872
8 19.9134 36.6541 54.2437 63.9576 78.9468 178.889 16.0039 930.711
9 21.0976 36.0687 53.3125 63.8523 78.3422 180.522 18.0007 584.736
10 22.5132 36.4551 54.3001 63.6706 77.5059 177.692 20.0002 871.168
12 25.867 39.0433 54.7143 64.9913 78.9009 177.211 24.0002 895.824
14 29.5681 39.8751 54.9923 67.1602 79.827 178.347 28.001 811.247
16 33.3353 43.25 58.3085 70.6432 83.1624 185.949 32.0017 540.024
18 37.0817 47.2561 63.6668 74.2476 85.368 192.946 36.0024 482.417
20 41.1165 51.742 67.0494 78.4299 91.041 199.62 40.0032 827.132
22 45.1164 56.3851 68.6805 82.0821 94.4914 199.737 44.0138 753.793
24 49.0583 61.1493 72.5859 86.5909 98.8192 203.404 48.0036 508.233
26 52.7403 61.3124 81.9233 99.0742 113.405 266.833 52.0001 570.268
28 56.7107 66.0287 83.314 100.439 113.08 265.158 56.0049 685.474
30 60.6856 70.745 89.265 106.816 121.157 282.11 60.0092 658.314
