resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 5.52418 40.6717 66.2179 72.6776 95.0615 198.32 2.00001 606.724
2 9.24258 49.6992 72.7743 82.2423 103.165 228.285 4.00179 630.746
3 9.04045 37.9176 59.3288 67.4151 86.0212 189.479 6.00019 757.863
4 11.4038 41.8448 63.6763 72.4691 91.2802 200.121 8.00005 956.691
5 13.2406 41.6296 63.057 72.36 90.1593 201.779 10.0004 1012.16
6 16.4402 49.0609 72.0299 82.9652 101.981 232.528 12.0014 998.897
7 18.1012 47.9243 71.8847 81.9797 102.088 225.633 14.0035 708.522
8 20.3452 47.9835 71.3628 82.4985 101.873 229.002 16.0012 612.673
9 22.7092 48.1972 69.6223 81.6307 100.202 230.945 18 582.663
10 24.9001 44.7247 63.341 76.0384 92.5691 224.296 20 848.073
12 30.0778 54.6575 78.8049 94.1992 115.413 267.341 24.0021 899.845
14 32.5121 51.1019 74.8879 90.0157 109.531 255.938 28.001 603.978
16 35.1836 53.1522 74.2555 90.626 109.55 254.263 32.0023 833.986
18 40.0725 63.1868 85.4294 105.316 127.488 301.009 36.0027 829.729
20 46.1868 73.0908 108.862 127.702 156.385 355.92 40.0141 781.261
22 46.4587 61.5909 86.3261 105.498 126.346 281.844 44.0056 833.362
24 50.2325 65.6036 89.8884 109.384 133.143 285.888 48.0036 634.16
26 56.1852 97.3285 148.921 193.558 244.454 584.261 52.0333 1321.06
28 60.8406 90.7185 147.426 189.709 240.435 596.833 56.0012 1282.16
30 63.6015 95.7889 136.078 175.498 213.837 524.099 60.0242 942.967
