resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 3.89916 20.7141 34.9726 38.0262 50.9107 96.4559 2.00012 241.984
2 5.55507 20.7908 34.0454 37.2896 49.2512 93.8197 4 245.935
3 7.36683 20.9875 33.375 36.8267 48.0799 91.7834 6 222.787
4 9.21417 21.3816 33.1494 36.7831 47.4983 90.3598 8.00006 224.034
5 11.0588 21.9276 32.8563 36.8304 46.8788 90.3251 10 241.751
6 12.8962 22.6298 32.956 37.0425 46.6139 89.3872 12.0005 225.366
7 14.7631 23.4499 33.0961 37.3742 46.3575 88.7423 14.0003 217.321
8 16.6522 24.451 33.4952 37.9558 46.4565 88.5014 16.0003 201.438
9 18.5619 25.4794 34.0294 38.5487 46.5437 88.2169 18.0002 222.358
10 20.5153 26.8034 34.9456 39.5435 47.2515 88.1223 20.0002 209.05
12 24.4327 29.837 37.4276 42.1099 49.2211 90.6628 24 204.901
14 28.389 33.2054 40.1803 44.9619 51.6799 91.4862 28 192.832
16 32.3606 36.7829 43.4133 48.0961 54.5232 92.1699 32.0004 189.402
18 36.3269 40.5786 47.147 51.7251 57.7266 97.7825 36.0001 196.072
20 40.3323 44.5091 50.8861 55.4485 61.4693 99.3697 40.0001 177.849
22 44.2642 48.0071 54.1067 59.1604 64.9181 104.437 44.0004 202.16
24 48.2813 52.3552 58.2405 62.8276 68.4241 103.825 48.0012 196.426
26 52.3734 56.2296 62.6272 66.8928 72.933 107.086 52.025 148.48
28 56.4095 60.6406 66.616 72.2933 77.4466 122.425 56.0342 184.571
30 60.3388 64.1633 70.2812 76.6784 82.3136 134.467 60.0898 157.707
