resolution 2pc 25pc median mean 75pc 98pc minimum maximum
1 3.89916 20.7141 34.9726 38.0262 50.9107 96.4559 2.00012 241.984
2 6.49487 26.1677 41.1223 44.0665 57.9909 104.416 4.00003 241.928
3 7.30508 20.3048 32.3988 35.9757 47.0655 90.6652 6.00014 236.796
4 9.39759 22.5959 34.8609 38.733 49.9635 96.4932 8.00003 230.391
5 11.2689 23.4796 35.1709 39.2901 50.0955 97.0725 10 241.751
6 13.5826 27.9987 41.3652 45.9004 58.0186 110.637 12.0004 265.978
7 15.2538 27.9537 40.5631 45.2667 56.7971 108.539 14.0003 281.581
8 17.1222 28.9806 41.4003 46.2358 57.4222 110.099 16.0002 248.463
9 19.0194 29.6776 41.3225 46.5974 57.1801 110.734 18.0002 264.175
10 20.76 29.3918 39.4349 45.0735 54.3237 107.184 20 261.477
12 24.9482 35.2662 47.5113 53.9543 65.1489 127.979 24 259.392
14 28.7428 37.2038 48.1758 55.0702 65.3904 127.106 28.003 261.206
16 32.6696 40.5315 51.772 59.2602 69.9731 132.326 32.0021 254.294
18 36.6918 45.0619 56.4319 64.3061 74.5398 145.955 36.0018 248.967
20 40.9125 51.7787 65.229 74.374 87.2909 165.131 40.0055 294.867
22 44.5206 51.5614 61.8279 69.1914 78.8439 141.912 44.0038 246.958
24 48.5336 55.6238 66.1139 73.744 83.4403 148.737 48.0011 257.626
26 52.8252 64.1835 81.5885 92.6881 109.146 200.99 52.0068 356.063
28 56.8551 67.7264 84.4891 96.9901 112.298 216.135 56.01 324.861
30 60.9147 70.3929 85.5126 96.3291 109.548 204.254 60.0104 328.641
